eid	Name	roadmap_name	Category	Type
E001	ES-I3 Cell Line	ESC	ESC	PrimaryCulture
E002	ES-WA7 Cell Line	ESC	ESC	PrimaryCulture
E003	H1 Cell Line	ESC	ESC	PrimaryCulture
E004	H1 BMP4 Derived Mesendoderm Cultured Cells	ES-deriv	ESC	ESCDerived
E005	H1 BMP4 Derived Trophoblast Cultured Cells	ES-deriv	ESC	ESCDerived
E006	H1 Derived Mesenchymal Stem Cells	ES-deriv	ESC	ESCDerived
E007	H1 Derived Neuronal Progenitor Cultured Cells	ES-deriv	ESC	ESCDerived
E008	H9 Cell Line	ESC	ESC	PrimaryCulture
E009	H9 Derived Neuronal Progenitor Cultured Cells	ES-deriv	ESC	ESCDerived
E010	H9 Derived Neuron Cultured Cells	ES-deriv	ESC	ESCDerived
E011	hESC Derived CD184+ Endoderm Cultured Cells	ES-deriv	ESC	ESCDerived
E012	hESC Derived CD56+ Ectoderm Cultured Cells	ES-deriv	ESC	ESCDerived
E013	hESC Derived CD56+ Mesoderm Cultured Cells	ES-deriv	ESC	ESCDerived
E014	HUES48 Cell Line	ESC	ESC	PrimaryCulture
E015	HUES6 Cell Line	ESC	ESC	PrimaryCulture
E016	HUES64 Cell Line	ESC	ESC	PrimaryCulture
E017	IMR90 fetal lung fibroblasts Cell Line	IMR90	Muscloskeletal/Connective	CellLine
E018	iPS-15b Cell Line	iPSC	IPSC	PrimaryCulture
E019	iPS-18 Cell Line	iPSC	IPSC	PrimaryCulture
E020	iPS-20b Cell Line	iPSC	IPSC	PrimaryCulture
E021	iPS DF 6.9 Cell Line	iPSC	IPSC	PrimaryCulture
E022	iPS DF 19.11 Cell Line	iPSC	IPSC	PrimaryCulture
E023	Mesenchymal Stem Cell Derived Adipocyte Cultured Cells	Mesench	Mesench	PrimaryCulture
E024	ES-UCSF4 Cell Line	ESC	ESC	PrimaryCulture
E025	Adipose Derived Mesenchymal Stem Cell Cultured Cells	Mesench	Mesench	PrimaryCulture
