Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DA_FB	2.05480815053e-07	6.96464287544e-08	0.00158710945345
Ex1_single-cell	4.9681021824e-07	2.5994683354e-07	0.0279894839563
Neun-neg	2.86773156104e-07	1.50109646233e-07	0.0280392850235
Inhib2_single-cell	3.32705534828e-07	1.86602511426e-07	0.0372960929147
Cux2_layer2-3_cortical	1.37297182646e-07	8.23819603873e-08	0.0477977000269
DA_MB	1.18385873146e-07	7.31272888469e-08	0.0527342356086
Ex3_single-cell	2.00132315909e-07	1.32128658379e-07	0.0649270379996
Gad2_GABA_cortical	1.32412375252e-07	9.08549889998e-08	0.0725025213924
Rod	1.50970915283e-07	1.37243082075e-07	0.135660465632
Oligodendrocyte_single-cell	2.42494844549e-07	2.22427843378e-07	0.137808557132
Ex2_single-cell	1.77637389757e-07	1.72404008171e-07	0.151421615815
Excitatory_cortical	5.23906718683e-08	5.49124164652e-08	0.170022341526
Scnn1a_layer4_cortical	6.15097342942e-08	7.45773751405e-08	0.204748987077
Vip_GABA_cortical	4.22921152676e-08	6.12632518747e-08	0.24499203661
Blue_cone	8.86272854619e-08	1.34310020382e-07	0.254668312637
Green_cone	5.56748854295e-08	9.74013252434e-08	0.283795496184
CD8_tcells	4.39995372745e-08	9.34315443907e-08	0.318846049499
Rbp4_layer5_cortical	2.43188163034e-08	5.90565575516e-08	0.340247194207
CD4_tcells	3.93388760831e-08	9.58634010245e-08	0.340769523471
Ntsr1_layer6_cortical	2.73378094464e-08	7.49878233391e-08	0.357718701655
Pv_GABA_cortical	1.69746488606e-08	6.12794133793e-08	0.390888478291
Microglia_adult	1.1688305427e-08	1.22074666498e-07	0.461860683218
Microglia_single-cell	-3.76353651469e-08	2.41201994742e-07	0.561996322521
Astrocytes_single-cell	-1.36704352415e-07	2.75972512933e-07	0.689825208211
Inhib1_single-cell	-1.39175280276e-07	2.35122474062e-07	0.723050177565
