Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Blue_cone	4.00467385366e-07	1.63665342075e-07	0.00720519277851
Microglia_adult	3.75784001179e-07	2.03575029081e-07	0.032451631655
Green_cone	2.66749306121e-07	1.49996430354e-07	0.03767146884
Rod	3.63116588518e-07	2.090927382e-07	0.0412263066937
CD8_tcells	1.99609467562e-07	1.40708993724e-07	0.0780081552461
Neun-neg	2.78056866029e-07	2.24519339028e-07	0.107773890389
Microglia_single-cell	4.13253746572e-07	4.01186424156e-07	0.151486440117
Oligodendrocyte_single-cell	3.21116630929e-07	3.24710503625e-07	0.161348188942
CD4_tcells	8.7955039939e-08	1.34379302009e-07	0.256385789053
Inhib1_single-cell	1.54763156468e-07	4.20090964906e-07	0.35628603904
Ex3_single-cell	5.99078411696e-08	1.66802043904e-07	0.359739450219
Gad2_GABA_cortical	3.38313819352e-08	1.34449466441e-07	0.400663928686
Inhib2_single-cell	8.5277568235e-09	2.78582788724e-07	0.487789800203
Scnn1a_layer4_cortical	-2.37566949319e-08	1.09228190333e-07	0.586089089629
Astrocytes_single-cell	-1.44089950162e-07	3.74070759778e-07	0.6499532924
Pv_GABA_cortical	-5.99684214763e-08	8.42703559902e-08	0.761649759579
Vip_GABA_cortical	-6.22978854816e-08	8.73145003887e-08	0.762228213828
DA_MB	-1.24749570765e-07	1.40440353402e-07	0.812803416866
Ex1_single-cell	-2.63485167119e-07	2.69116598703e-07	0.836228385346
Ntsr1_layer6_cortical	-1.19882756675e-07	1.07438876395e-07	0.867751021378
Excitatory_cortical	-8.87339017578e-08	7.61768595856e-08	0.877958247162
Ex2_single-cell	-2.98845332416e-07	2.51396920293e-07	0.882728812545
Cux2_layer2-3_cortical	-1.5273742033e-07	1.09495594244e-07	0.918479777741
DA_FB	-1.81159313097e-07	1.19685829601e-07	0.934939351831
Rbp4_layer5_cortical	-1.36602794133e-07	7.75360462579e-08	0.960948221379
