Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Microglia_adult	3.06190243137e-07	1.01128870087e-07	0.00123201768153
Inhib2_single-cell	1.23862667194e-07	1.55076508969e-07	0.212226472219
Ex3_single-cell	4.64440969371e-08	8.10121119196e-08	0.283221406175
Blue_cone	4.26754743443e-08	7.88713877608e-08	0.294227340608
Scnn1a_layer4_cortical	2.45509456107e-08	4.63990126686e-08	0.298358861423
Neun-neg	3.01325768687e-08	1.00574857136e-07	0.38223981595
Gad2_GABA_cortical	1.51760674867e-08	6.3919716783e-08	0.406163980921
Rod	1.09573890115e-08	8.6185362163e-08	0.449415797126
Astrocytes_single-cell	2.50512902873e-09	1.66491406621e-07	0.493997502945
Green_cone	-1.10674719858e-09	5.55607960619e-08	0.507946233411
Microglia_single-cell	-2.49342460431e-08	1.37112938506e-07	0.572150516701
Vip_GABA_cortical	-7.9008899812e-09	4.1088007429e-08	0.576243208704
Inhib1_single-cell	-3.88715202671e-08	1.7244345708e-07	0.58917218055
CD4_tcells	-1.36958970197e-08	5.44211062319e-08	0.599350060018
Rbp4_layer5_cortical	-1.71395236203e-08	3.8563370714e-08	0.671641678655
CD8_tcells	-3.24924396731e-08	5.65478593346e-08	0.717219311424
Pv_GABA_cortical	-2.67241430345e-08	4.00530500116e-08	0.747683768569
Ntsr1_layer6_cortical	-2.91697170583e-08	4.29765665464e-08	0.751347233871
Cux2_layer2-3_cortical	-3.00392048295e-08	4.25676270375e-08	0.759807016874
Ex1_single-cell	-1.12093639724e-07	1.32557559455e-07	0.801118283422
Ex2_single-cell	-1.03772156265e-07	9.95644751067e-08	0.851354625169
Excitatory_cortical	-3.4756816033e-08	3.13063639544e-08	0.866546950434
DA_FB	-5.00578653897e-08	4.3007130769e-08	0.877776522097
Oligodendrocyte_single-cell	-1.48077426023e-07	1.09118433255e-07	0.912614799243
DA_MB	-8.77527074085e-08	4.3557628754e-08	0.978028527045
