Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Rbp4_layer5_cortical	4.42894025067e-08	1.76489690211e-08	0.00604577537699
Ntsr1_layer6_cortical	6.11270231774e-08	2.93998875202e-08	0.018801396788
Rod	9.05567719561e-08	4.63262114439e-08	0.0253055150444
Cux2_layer2-3_cortical	5.04650164886e-08	2.62012910699e-08	0.0270490182399
Pv_GABA_cortical	2.93173600914e-08	2.03268576054e-08	0.0746093422815
Green_cone	5.52881359108e-08	3.87931891664e-08	0.0770493901063
DA_FB	2.69484375943e-08	1.97864848826e-08	0.086604962274
Blue_cone	7.82846527648e-08	5.97070401503e-08	0.0949042043916
Scnn1a_layer4_cortical	2.89776061407e-08	2.4534650455e-08	0.118783681654
DA_MB	2.87216329544e-08	2.72035782655e-08	0.145529001036
Astrocytes_single-cell	7.81308451687e-08	7.48312531431e-08	0.148221004109
Ex2_single-cell	4.95501664184e-08	5.01503969806e-08	0.16156863771
Vip_GABA_cortical	1.67843628961e-08	1.96309541147e-08	0.196277024404
Gad2_GABA_cortical	2.24357685724e-08	2.84211700643e-08	0.214938131671
Microglia_adult	3.49377853726e-08	4.5319596694e-08	0.220377163477
Excitatory_cortical	9.53326685299e-09	1.50172646352e-08	0.262772758637
Ex3_single-cell	2.08333834508e-08	3.91945953107e-08	0.297523302642
Inhib1_single-cell	1.75745953544e-08	7.02998354755e-08	0.401295673746
Neun-neg	5.02212783122e-09	4.43067616845e-08	0.454876929298
Inhib2_single-cell	-1.98819612594e-08	4.91393146941e-08	0.657115675948
CD4_tcells	-2.01369176926e-08	3.98964527073e-08	0.693125590211
CD8_tcells	-1.93437454986e-08	3.20607272033e-08	0.726861083733
Ex1_single-cell	-5.11143528156e-08	5.52579941208e-08	0.822520379809
Oligodendrocyte_single-cell	-5.89745186229e-08	4.97632929614e-08	0.882011203875
Microglia_single-cell	-6.87248665191e-08	4.20190135506e-08	0.949034766002
