Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Rbp4_layer5_cortical	6.81700184827e-08	1.72571126142e-08	3.90337689304e-05
Gad2_GABA_cortical	8.90873970585e-08	2.9102305549e-08	0.00110233239134
Scnn1a_layer4_cortical	6.44122990179e-08	2.17459234623e-08	0.00152803950794
Cux2_layer2-3_cortical	7.15374280718e-08	2.47469611425e-08	0.00192158148047
Vip_GABA_cortical	5.00397615944e-08	1.77413612925e-08	0.00239733751001
Ex3_single-cell	9.02772521032e-08	3.46749259276e-08	0.00461344322171
Ntsr1_layer6_cortical	5.28877186735e-08	2.16768831664e-08	0.00734726685769
Ex2_single-cell	1.17407906781e-07	5.16708532316e-08	0.0115364022613
Inhib1_single-cell	1.81341057539e-07	8.33796979425e-08	0.0148194560931
Pv_GABA_cortical	3.12216946221e-08	1.81203768857e-08	0.0424428391793
DA_FB	4.06892566037e-08	2.41376408678e-08	0.0459250604522
Excitatory_cortical	2.82109489473e-08	1.70228929734e-08	0.0487358979617
Green_cone	5.38502705972e-08	3.31048480325e-08	0.0519048616854
Inhib2_single-cell	8.59408355396e-08	5.75114616998e-08	0.0675453003058
Ex1_single-cell	8.88978900453e-08	6.01340184311e-08	0.0696598101418
Oligodendrocyte_single-cell	4.61237054155e-08	6.24440729444e-08	0.230062739378
Rod	2.35729143081e-08	4.01450489416e-08	0.278536857662
CD8_tcells	1.18497247988e-08	2.65431957079e-08	0.327642708237
Blue_cone	1.23792712077e-08	3.38739554445e-08	0.357387385184
DA_MB	-1.67956206984e-09	2.09915888232e-08	0.531885823204
Astrocytes_single-cell	-7.90127000649e-09	7.87840404775e-08	0.539943045493
Microglia_single-cell	-1.22479439285e-08	5.99539231111e-08	0.580936277606
Neun-neg	-1.23885434044e-08	4.51068716697e-08	0.608206924109
Microglia_adult	-1.04305523992e-08	2.78042307206e-08	0.646222805107
CD4_tcells	-1.87595831112e-08	2.36413176159e-08	0.786259149019
