Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Rbp4_layer5_cortical	7.3606849939e-08	1.50841191117e-08	5.31080630391e-07
Cux2_layer2-3_cortical	8.37601857952e-08	1.73728938954e-08	7.13076404317e-07
Excitatory_cortical	5.42012270511e-08	1.28571135838e-08	1.24524045271e-05
Vip_GABA_cortical	6.34787329277e-08	1.58293584436e-08	3.03349700523e-05
Ntsr1_layer6_cortical	7.87519029684e-08	2.01958508356e-08	4.82136831122e-05
Ex2_single-cell	1.5932198082e-07	4.24427678993e-08	8.708431621e-05
Gad2_GABA_cortical	8.84066617101e-08	2.40136885368e-08	0.000115927831172
Scnn1a_layer4_cortical	6.75381417549e-08	1.89774844719e-08	0.00018623656268
Ex3_single-cell	9.36874618053e-08	2.70771892129e-08	0.0002700733539
DA_FB	6.57720854087e-08	1.9295553394e-08	0.000326407474462
Pv_GABA_cortical	4.38855058143e-08	1.65125129083e-08	0.00393365310073
DA_MB	4.16359000352e-08	1.66326075552e-08	0.00615258935108
Ex1_single-cell	1.2084759761e-07	5.03440494627e-08	0.00818780861351
Astrocytes_single-cell	1.33355255106e-07	5.81834683089e-08	0.0109534435689
Inhib2_single-cell	1.36462417412e-07	6.55550424885e-08	0.0186873904782
Inhib1_single-cell	1.10385484641e-07	6.03522355159e-08	0.033698257887
Green_cone	4.86254590417e-08	2.7082822688e-08	0.0362921769445
Neun-neg	5.4222394679e-08	3.88137311263e-08	0.0812082874631
Oligodendrocyte_single-cell	5.1381432292e-08	4.26962844949e-08	0.114407506724
Blue_cone	2.29947866429e-08	2.86259992338e-08	0.210905508998
Rod	2.62220169864e-08	3.364167507e-08	0.217857223204
Microglia_single-cell	1.7552134248e-08	5.24068647773e-08	0.36884252234
CD8_tcells	-3.26160281763e-08	2.24018811682e-08	0.92729683625
CD4_tcells	-3.89360785835e-08	2.21024300611e-08	0.960933222459
Microglia_adult	-6.11749435507e-08	2.04404153978e-08	0.998618038192
