Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Rbp4_layer5_cortical	3.99807126078e-07	6.13485377752e-08	3.58687567146e-11
Scnn1a_layer4_cortical	4.25497117302e-07	7.64714931528e-08	1.31733838227e-08
Ntsr1_layer6_cortical	3.61402738883e-07	6.63034079939e-08	2.50801152321e-08
Gad2_GABA_cortical	5.32591860567e-07	1.03501577411e-07	1.33236515082e-07
Cux2_layer2-3_cortical	3.99683693248e-07	8.21793822556e-08	5.76488785996e-07
Ex2_single-cell	8.0943893506e-07	1.73920142213e-07	1.62712136589e-06
Ex3_single-cell	6.0868870657e-07	1.32845156522e-07	2.30339632785e-06
Pv_GABA_cortical	2.59598565417e-07	5.84685542157e-08	4.49859284014e-06
Excitatory_cortical	2.2087470451e-07	5.63345319643e-08	4.413336376e-05
Ex1_single-cell	9.33569307852e-07	2.426845688e-07	5.98249203348e-05
Inhib1_single-cell	1.06040179067e-06	2.88163992532e-07	0.00011668317506
Vip_GABA_cortical	2.14228047533e-07	5.9825308399e-08	0.000171210723282
Blue_cone	3.68981998416e-07	1.07266242713e-07	0.000290996149556
Green_cone	2.84721877607e-07	8.85107350798e-08	0.000648130735933
Inhib2_single-cell	4.84664236345e-07	2.31814990818e-07	0.0182758119498
Microglia_single-cell	3.44320032483e-07	1.94386950448e-07	0.0382543761209
Neun-neg	1.97441275729e-07	1.15138890693e-07	0.0431900699348
Rod	2.16978150838e-07	1.28704102663e-07	0.045910596353
DA_FB	1.32554527567e-07	8.32673043215e-08	0.0557018256881
Oligodendrocyte_single-cell	3.13526380547e-07	1.99719571131e-07	0.0582269799467
CD8_tcells	1.31237228524e-07	9.08209182898e-08	0.0742273939868
DA_MB	9.05564184928e-08	6.79683923588e-08	0.0913756684008
Astrocytes_single-cell	2.59334821848e-07	2.55616434734e-07	0.155160968031
CD4_tcells	4.781517332e-08	8.78086810292e-08	0.293035614918
Microglia_adult	-2.76909796787e-08	8.27891982317e-08	0.630989708852
