Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Rbp4_layer5_cortical	4.44981103216e-07	7.38094780754e-08	8.26010072798e-10
Scnn1a_layer4_cortical	5.15404544303e-07	8.95489330942e-08	4.31767023419e-09
Gad2_GABA_cortical	6.09337313448e-07	1.27391712549e-07	8.62723421415e-07
Ex3_single-cell	7.45317243638e-07	1.56195890755e-07	9.13465371448e-07
Ntsr1_layer6_cortical	4.20521350456e-07	9.01532887667e-08	1.54673028199e-06
Cux2_layer2-3_cortical	5.0098991365e-07	1.08272534585e-07	1.85393647084e-06
Pv_GABA_cortical	3.1640326626e-07	6.84903674201e-08	1.92170416498e-06
Ex1_single-cell	1.11860054427e-06	2.69029338883e-07	1.60584250153e-05
Excitatory_cortical	2.59955820774e-07	6.44249618779e-08	2.72991642884e-05
Ex2_single-cell	8.79506018538e-07	2.2324946109e-07	4.08145474493e-05
Vip_GABA_cortical	2.88545228638e-07	7.66373290223e-08	8.32498228174e-05
Blue_cone	4.77122373959e-07	1.35857225698e-07	0.000222424524288
Green_cone	3.32921435648e-07	1.10396876856e-07	0.00128202685176
Inhib1_single-cell	9.97059537288e-07	3.36260425442e-07	0.00151272168426
Inhib2_single-cell	6.25626733976e-07	2.44431041938e-07	0.00524080461041
Oligodendrocyte_single-cell	4.82611697652e-07	2.40863554547e-07	0.0225525731607
Neun-neg	2.72476510054e-07	1.3870777379e-07	0.0247422961644
DA_FB	1.72558980781e-07	9.16999960536e-08	0.0299331223198
Microglia_single-cell	4.11475704738e-07	2.40157195586e-07	0.0433231758593
DA_MB	1.1781896457e-07	7.7337690868e-08	0.0638249240738
Rod	2.05481023524e-07	1.53209736467e-07	0.0899318680453
Astrocytes_single-cell	4.00901333804e-07	3.05779356325e-07	0.0949152937498
CD8_tcells	1.13722556432e-07	1.06977514269e-07	0.143879405747
CD4_tcells	1.80956129186e-08	1.02372835784e-07	0.429847724078
Microglia_adult	-9.46973051675e-08	9.47742489318e-08	0.841148219097
