Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD4_tcells	1.08995956017e-06	2.23877762459e-07	5.62107009566e-07
CD8_tcells	9.23496478172e-07	2.43504362051e-07	7.45614959133e-05
Microglia_adult	6.83344742227e-07	2.67027756176e-07	0.00524751597131
Microglia_single-cell	7.83916323027e-07	7.88020945064e-07	0.159918906928
Blue_cone	2.521799614e-07	2.75845072097e-07	0.180303599977
Green_cone	1.1169072508e-07	2.15238604668e-07	0.301909709581
Rod	1.42442220635e-07	2.8272118687e-07	0.307191907273
Ex1_single-cell	2.75431364467e-07	5.76126244202e-07	0.316298529693
Scnn1a_layer4_cortical	5.83539115185e-08	1.43258908624e-07	0.34188214878
Oligodendrocyte_single-cell	2.12102285894e-07	5.58033446601e-07	0.351939734493
Excitatory_cortical	3.16944877989e-08	9.2485136184e-08	0.365912766225
Pv_GABA_cortical	-2.44105536363e-09	1.1064504413e-07	0.508800766511
Ex3_single-cell	-1.17178233194e-08	2.75465908383e-07	0.516965169104
Cux2_layer2-3_cortical	-3.11790156051e-08	1.43354225453e-07	0.5860892103
Ex2_single-cell	-1.38838769208e-07	4.37915198796e-07	0.624395223786
Neun-neg	-1.12092656352e-07	2.93535687561e-07	0.648721334892
Inhib2_single-cell	-2.60143887219e-07	5.87326800165e-07	0.671091340747
DA_MB	-1.00524673882e-07	1.62474814289e-07	0.731946049266
DA_FB	-1.08404461193e-07	1.68004433345e-07	0.740616635315
Ntsr1_layer6_cortical	-8.69888970169e-08	1.30336659422e-07	0.747747082228
Rbp4_layer5_cortical	-7.44426131892e-08	1.05148260077e-07	0.760520417109
Gad2_GABA_cortical	-1.69779380178e-07	1.97622814944e-07	0.804859587243
Inhib1_single-cell	-4.54621635536e-07	4.16946658873e-07	0.862222531903
Astrocytes_single-cell	-5.9517023139e-07	4.83150450426e-07	0.8909979607
Vip_GABA_cortical	-1.73441004188e-07	1.26095014134e-07	0.915508455231
