sample1	h2	h2_se	peaks	sample2	n_snps	Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
1	 0.3538 	0.0164	unique	1	896549	1	0.000598373571314	0.00597934618597	0.00580283262913	9.99266423622	9.69767534416	0.35725766623887978	4.85895571417e-07	5.79173803088e-07	0.838946044911
10	 0.3539 	0.0164	unique	10	896549	10	0.00103687890224	0.00172695887332	0.00546106628314	1.66553574346	5.26683132557	0.89944577935398984	-6.45490536825e-08	3.12621016558e-07	-0.206477012944
11	 0.3542 	0.0164	unique	11	896549	11	0.00037073327519	0.0119365325794	0.00460168817612	32.1970898708	12.4123958762	0.015432974198010983	1.81130427179e-06	7.57461469734e-07	2.3912823875
12	 0.3546 	0.0164	unique	12	896549	12	0.00110079264787	0.0176942822628	0.00624706556507	16.0741283083	5.67506112722	0.0087641064837730761	8.55644251082e-07	3.39497834635e-07	2.52032314728
13	 0.3549 	0.0164	unique	13	896549	13	0.00228110003441	0.0499273642157	0.0122499409754	21.8874067172	5.3701901673	0.00014725678477896928	1.19447287366e-06	3.23171284857e-07	3.69609841477
14	 0.3546 	0.0165	unique	14	896549	14	0.0014453565154	0.0219785569585	0.00708562919392	15.2063222632	4.90234009285	0.0048784570535798689	8.00176058767e-07	2.97581276749e-07	2.68893281025
15	 0.3539 	0.0164	unique	15	896549	15	0.000500573797813	0.00951182878033	0.00418916840376	19.0018511194	8.36873288626	0.032764455166715112	8.82021405502e-07	4.96346035542e-07	1.77702921418
16	 0.3553 	0.0166	unique	16	896549	16	0.000717142421465	0.0351965435118	0.0107318484261	49.0788753507	14.9647379724	0.0020517122756821353	2.80883909221e-06	9.16722354139e-07	3.06400196257
17	 0.354 	0.0164	unique	17	896549	17	0.000292392804822	0.0083838976714	0.00494393886547	28.67340623	16.9085517288	0.10678563115046887	1.5921744405e-06	1.0128115992e-06	1.57203416881
18	 0.3549 	0.0164	unique	18	896549	18	0.00154483381503	0.0293941334774	0.00951315353151	19.0273757548	6.15804330467	0.0037229167672253398	1.02682431673e-06	3.67091058076e-07	2.7971923972
19	 0.3544 	0.0165	unique	19	896549	19	0.00160522475579	0.0172781279346	0.00951403903123	10.7636814547	5.92692020037	0.10374444778378135	5.29647165797e-07	3.54550113058e-07	1.4938569931
2	 0.3542 	0.0164	unique	2	896549	2	0.000740460034701	-0.00693583724152	0.0049388029147	-9.36692990367	6.66991151885	0.11797083639566432	-6.42625245961e-07	3.93065715474e-07	-1.63490536229
20	 0.3536 	0.0164	unique	20	896549	20	0.00050090930304	-0.00835928641728	0.00366640619388	-16.6882235298	7.31950109856	0.01539189482149613	-1.20903510947e-06	4.33522940388e-07	-2.78886074261
21	 0.354 	0.0164	unique	21	896549	21	0.00135745414608	0.0123069004264	0.00831797772557	9.06616290641	6.1276307193	0.18797137963248428	4.30372128703e-07	3.63223431463e-07	1.18486884772
22	 0.3539 	0.0164	unique	22	896549	22	0.00169212060943	0.00107963616528	0.00720195034495	0.63803735931	4.25616844615	0.9322427803591975	-4.21753736643e-08	2.53195493823e-07	-0.16657237073
23	 0.355 	0.0165	unique	23	896549	23	0.00111370959909	0.0236981255941	0.0076473535856	21.2785501835	6.86655982121	0.0041152681308886385	1.16111940797e-06	4.15625154519e-07	2.79366971741
24	 0.3541 	0.0164	unique	24	896549	24	0.00119020479071	0.010214344596	0.00656755732942	8.58200595031	5.51800612858	0.16947782807952327	3.87272024581e-07	3.28463171518e-07	1.17904245639
25	 0.354 	0.0164	unique	25	896549	25	0.000275114285662	0.00372524580039	0.00317089236763	13.540721055	11.5257277898	0.27430988503247999	7.08332499902e-07	6.80046559334e-07	1.04159412349
26	 0.354 	0.0164	unique	26	896549	26	0.000136886132378	-0.00126775613239	0.00156474634205	-9.26139200785	11.4310070339	0.36847391730004386	-6.73092674117e-07	6.76492157458e-07	-0.994974837027
27	 0.3546 	0.0165	unique	27	896549	27	0.000613806811729	0.0135521739188	0.00610980514705	22.0788913708	9.95395461618	0.036790761587395034	1.21746502707e-06	5.96591150969e-07	2.04070245609
3	 0.3539 	0.0164	unique	3	896549	3	0.00100634792664	-0.00883605482486	0.00606405709746	-8.78031801029	6.0258057248	0.10471699709975092	-6.12943188047e-07	3.56936324203e-07	-1.71723398961
4	 0.3543 	0.0164	unique	4	896549	4	0.00186339602752	0.0124627722165	0.00856007290456	6.68820370575	4.59380227185	0.21600937640124704	2.78825118641e-07	2.73808650905e-07	1.01832107101
5	 0.3539 	0.0164	unique	5	896549	5	0.000164733066171	0.00146646626887	0.00231728731086	8.90207596424	14.0669227176	0.5737714037419549	3.84455657441e-07	8.33709646454e-07	0.461138549945
6	 0.3539 	0.0164	unique	6	896549	6	0.000475914163672	0.000916826257278	0.00459994458151	1.92645297674	9.66549208373	0.92364648090000534	2.31980994871e-08	5.74849484595e-07	0.040355084433
7	 0.3539 	0.0164	unique	7	896549	7	0.000322420522586	0.00223021520856	0.00425927693222	6.91710065685	13.2103158262	0.65398384280844057	3.03582969327e-07	7.82922120146e-07	0.387756280625
8	 0.354 	0.0164	unique	8	896549	8	0.000673191236805	-0.00115190304212	0.00517920722787	-1.71110819503	7.69351551939	0.72515116581592265	-2.07607254524e-07	4.57823037035e-07	-0.453466159912
9	 0.354 	0.0164	unique	9	896549	9	0.000703554459795	0.00563655108832	0.00508807049808	8.01153487103	7.2319497478	0.33119334318294491	3.42776712115e-07	4.28585646515e-07	0.799785795212
