sample1	h2	h2_se	peaks	sample2	n_snps	Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
distal_final_CD4-summits_corces_hg19_summits	 0.3541 	0.0164	distal	distal_final_CD4-summits_corces_hg19_summits	896549	distal_final_CD4-summits_corces_hg19_summits	0.00493813367501	0.00609612835574	0.0148894716341	1.23450047263	3.01520222295	0.93807139643205872	-1.04778035659e-07	1.89854998501e-07	-0.551884524961
distal_final_CD8-summits_corces_hg19_summits	 0.3542 	0.0164	distal	distal_final_CD8-summits_corces_hg19_summits	896549	distal_final_CD8-summits_corces_hg19_summits	0.00504952141018	-0.00332337508573	0.0149064111476	-0.65815645004	2.95204434969	0.57347467729522739	-2.1949934966e-07	1.8039088234e-07	-1.21679847014
distal_summits_filter2_adult_microglia_merged_GSE79816_summits	 0.3539 	0.0164	distal	distal_summits_filter2_adult_microglia_merged_GSE79816_summits	896549	distal_summits_filter2_adult_microglia_merged_GSE79816_summits	0.005164096445	0.0113349414993	0.0132317863291	2.19495155059	2.5622655328	0.64030269011246777	-3.79469541057e-08	1.54559586156e-07	-0.245516664798
distal_summits_filter2_astrocytes_merge_preissl_summits	 0.3559 	0.0164	distal	distal_summits_filter2_astrocytes_merge_preissl_summits	896549	distal_summits_filter2_astrocytes_merge_preissl_summits	0.00525350858784	0.0768291387026	0.015748252294	14.62434817	2.9976637576	8.37902562085036e-06	6.82115915195e-07	1.79409678664e-07	3.80200176643
distal_summits_filter2_blue-cone_ss-all_merge_GSE83312_summits	 0.3543 	0.0164	distal	distal_summits_filter2_blue-cone_ss-all_merge_GSE83312_summits	896549	distal_summits_filter2_blue-cone_ss-all_merge_GSE83312_summits	0.00340554580074	0.0342726674307	0.01074221813	10.06378109	3.1543308352	0.0044064320778670852	3.90734442353e-07	1.95746146244e-07	1.99612840329
distal_summits_filter2_cd4_mm10_merged_GSE107076_summits	 0.3539 	0.0164	distal	distal_summits_filter2_cd4_mm10_merged_GSE107076_summits	896549	distal_summits_filter2_cd4_mm10_merged_GSE107076_summits	0.00471468719422	0.0340686749647	0.0209039069216	7.22607323906	4.43378448251	0.15654534426032404	2.557996179e-07	2.64217407713e-07	0.968140669134
distal_summits_filter2_cd8_mm10_merged_GSE107076_summits	 0.3539 	0.0164	distal	distal_summits_filter2_cd8_mm10_merged_GSE107076_summits	896549	distal_summits_filter2_cd8_mm10_merged_GSE107076_summits	0.00452797853572	0.0420227299699	0.0202461382515	9.28068223787	4.47134148093	0.06212779930918616	3.75643593753e-07	2.67474686706e-07	1.40440801475
distal_summits_filter2_cort_excite_merge_GSE63137_summits	 0.3544 	0.0163	distal	distal_summits_filter2_cort_excite_merge_GSE63137_summits	896549	distal_summits_filter2_cort_excite_merge_GSE63137_summits	0.00786239722846	0.107910443764	0.0173808993239	13.7248781292	2.21063612265	1.5689160491802497e-08	6.64868190775e-07	1.30444006311e-07	5.096962364
distal_summits_filter2_cort_pv-gaba_merge_GSE63137_summits	 0.3547 	0.0163	distal	distal_summits_filter2_cort_pv-gaba_merge_GSE63137_summits	896549	distal_summits_filter2_cort_pv-gaba_merge_GSE63137_summits	0.00546672215923	0.0748949902699	0.0151865638594	13.7001640267	2.77800177457	6.478771887415129e-06	6.17289932499e-07	1.67974489107e-07	3.67490287234
distal_summits_filter2_cort_vip-gaba_merge_GSE63137_summits	 0.3549 	0.0164	distal	distal_summits_filter2_cort_vip-gaba_merge_GSE63137_summits	896549	distal_summits_filter2_cort_vip-gaba_merge_GSE63137_summits	0.00620617567825	0.0683645089689	0.0151578223925	11.0155613558	2.44237726715	6.4825229131659383e-05	4.44625308976e-07	1.49654792544e-07	2.97100614967
