sample1	h2	h2_se	peaks	sample2	n_snps	Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
minus_final_CD4-summits_corces_hg19_summits	 0.3543 	0.0164	minus	minus_final_CD4-summits_corces_hg19_summits	896549	minus_final_CD4-summits_corces_hg19_summits	0.00502150672378	-0.0187195893602	0.013732592233	-3.72788296221	2.73475532114	0.081197396939127003	-4.22183932863e-07	1.69882757747e-07	-2.48514880769
minus_final_CD8-summits_corces_hg19_summits	 0.3544 	0.0164	minus	minus_final_CD8-summits_corces_hg19_summits	896549	minus_final_CD8-summits_corces_hg19_summits	0.00517583912793	-0.0315292908127	0.0137723883436	-6.09162882258	2.66089961515	0.0073715331931173403	-5.71904646418e-07	1.59922431321e-07	-3.57613776688
minus_summits_filter2_adult_microglia_merged_GSE79816_summits	 0.3539 	0.0164	minus	minus_summits_filter2_adult_microglia_merged_GSE79816_summits	896549	minus_summits_filter2_adult_microglia_merged_GSE79816_summits	0.0045023123859	-0.00549358540425	0.0119138173135	-1.22016975576	2.64615519591	0.40328182557062875	-2.2999434456e-07	1.59978883753e-07	-1.43765439015
minus_summits_filter2_astrocytes_merge_preissl_summits	 0.3549 	0.0164	minus	minus_summits_filter2_astrocytes_merge_preissl_summits	896549	minus_summits_filter2_astrocytes_merge_preissl_summits	0.00434881874481	0.0394367972202	0.0138681003165	9.068392944	3.18893500287	0.012013634378325795	3.5727018029e-07	1.91362994631e-07	1.86697632413
minus_summits_filter2_blue-cone_ss-all_merge_GSE83312_summits	 0.3541 	0.0164	minus	minus_summits_filter2_blue-cone_ss-all_merge_GSE83312_summits	896549	minus_summits_filter2_blue-cone_ss-all_merge_GSE83312_summits	0.00270299785662	0.017456930853	0.00956010180125	6.45835911791	3.5368514177	0.12370737825060456	1.89535438908e-07	2.16086868528e-07	0.877126130795
minus_summits_filter2_cd4_mm10_merged_GSE107076_summits	 0.3539 	0.0164	minus	minus_summits_filter2_cd4_mm10_merged_GSE107076_summits	896549	minus_summits_filter2_cd4_mm10_merged_GSE107076_summits	0.00404317348355	0.0206586394173	0.0194330723091	5.10951100698	4.80639091747	0.390358297410758	1.44534328686e-07	2.86792139513e-07	0.503968933497
minus_summits_filter2_cd8_mm10_merged_GSE107076_summits	 0.3539 	0.0164	minus	minus_summits_filter2_cd8_mm10_merged_GSE107076_summits	896549	minus_summits_filter2_cd8_mm10_merged_GSE107076_summits	0.00387474985988	0.0260308106074	0.0170776200585	6.71806221014	4.40741226558	0.1919430367214556	2.33690864523e-07	2.62409745858e-07	0.890557108539
minus_summits_filter2_cort_excite_merge_GSE63137_summits	 0.3539 	0.0164	minus	minus_summits_filter2_cort_excite_merge_GSE63137_summits	896549	minus_summits_filter2_cort_excite_merge_GSE63137_summits	0.00358470559165	0.00896456181734	0.0114141591646	2.50078049317	3.18412736355	0.63708045273250224	1.72208462116e-09	1.89552617755e-07	0.00908499519319
minus_summits_filter2_cort_pv-gaba_merge_GSE63137_summits	 0.3541 	0.0164	minus	minus_summits_filter2_cort_pv-gaba_merge_GSE63137_summits	896549	minus_summits_filter2_cort_pv-gaba_merge_GSE63137_summits	0.00354310294357	0.0267329233921	0.0120781004873	7.54505974505	3.40890475937	0.054499638308794764	2.53674997114e-07	2.04801896412e-07	1.2386359773
minus_summits_filter2_cort_vip-gaba_merge_GSE63137_summits	 0.3541 	0.0164	minus	minus_summits_filter2_cort_vip-gaba_merge_GSE63137_summits	896549	minus_summits_filter2_cort_vip-gaba_merge_GSE63137_summits	0.00449577003398	0.024956814699	0.0132905170493	5.55117688635	2.95622706429	0.1268996336845343	1.27247036807e-07	1.78235648336e-07	0.71392585038
