sample1	h2	h2_se	peaks	sample2	n_snps	Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
original_final_CD4-original_summits_corces_hg19_summits	 0.3541 	0.0164	original	original_final_CD4-original_summits_corces_hg19_summits	896549	original_final_CD4-original_summits_corces_hg19_summits	0.00794711229813	0.0211333228205	0.0201745203383	2.65924552563	2.53859761653	0.51510261233122778	-6.2389233491e-08	1.75396327426e-07	-0.355704332049
original_final_CD8-original_summits_corces_hg19_summits	 0.3545 	0.0164	original	original_final_CD8-original_summits_corces_hg19_summits	896549	original_final_CD8-original_summits_corces_hg19_summits	0.00809037302981	0.00633009885215	0.0198339409671	0.782423607518	2.45154838893	0.92930678478042428	-2.09491686907e-07	1.63646144758e-07	-1.28015045644
original_summits_filter2_adult_microglia_merged_GSE79816_summits	 0.3539 	0.0164	original	original_summits_filter2_adult_microglia_merged_GSE79816_summits	896549	original_summits_filter2_adult_microglia_merged_GSE79816_summits	0.00740711663621	0.0234715679636	0.0173381506048	3.16878606296	2.3407422154	0.35180267454805814	1.04017856072e-08	1.44235272297e-07	0.0721167952994
original_summits_filter2_astrocytes_merge_preissl_summits	 0.3555 	0.0164	original	original_summits_filter2_astrocytes_merge_preissl_summits	896549	original_summits_filter2_astrocytes_merge_preissl_summits	0.00717142421465	0.100395648849	0.0206043365006	13.9994017706	2.87311639695	7.3830939179108623e-06	6.90412504887e-07	1.6791266267e-07	4.11173579114
original_summits_filter2_blue-cone_ss-all_merge_GSE83312_summits	 0.3539 	0.0164	original	original_summits_filter2_blue-cone_ss-all_merge_GSE83312_summits	896549	original_summits_filter2_blue-cone_ss-all_merge_GSE83312_summits	0.0055412043195	0.0584502389678	0.0152336322174	10.5482915983	2.7491554794	0.0005320493866781276	4.75082249038e-07	1.80294363023e-07	2.63503662051
original_summits_filter2_cd4_mm10_merged_GSE107076_summits	 0.3536 	0.0165	original	original_summits_filter2_cd4_mm10_merged_GSE107076_summits	896549	original_summits_filter2_cd4_mm10_merged_GSE107076_summits	0.0068989939708	0.0550515555899	0.0258541162688	7.97964976094	3.74751976567	0.058951189192271727	3.11224616952e-07	2.28892042482e-07	1.35970046655
original_summits_filter2_cd8_mm10_merged_GSE107076_summits	 0.3534 	0.0165	original	original_summits_filter2_cd8_mm10_merged_GSE107076_summits	896549	original_summits_filter2_cd8_mm10_merged_GSE107076_summits	0.00675304919731	0.0616511517648	0.0250192684037	9.12937992357	3.7048846636	0.026317500751561348	3.81030381798e-07	2.29484794357e-07	1.66037311041
original_summits_filter2_cort_excite_merge_GSE63137_summits	 0.3535 	0.0163	original	original_summits_filter2_cort_excite_merge_GSE63137_summits	896549	original_summits_filter2_cort_excite_merge_GSE63137_summits	0.00981973471937	0.129291179981	0.0202411695646	13.1664636241	2.06127458053	5.7338315137463102e-09	6.47731311739e-07	1.21035765176e-07	5.35156951994
original_summits_filter2_cort_pv-gaba_merge_GSE63137_summits	 0.3538 	0.0163	original	original_summits_filter2_cort_pv-gaba_merge_GSE63137_summits	896549	original_summits_filter2_cort_pv-gaba_merge_GSE63137_summits	0.00784092489397	0.1053093725	0.0191280627743	13.4307334816	2.43951613272	4.5074226686792606e-07	6.35881145866e-07	1.53226055334e-07	4.14995442179
original_summits_filter2_cort_vip-gaba_merge_GSE63137_summits	 0.3544 	0.0163	original	original_summits_filter2_cort_vip-gaba_merge_GSE63137_summits	896549	original_summits_filter2_cort_vip-gaba_merge_GSE63137_summits	0.00863405924922	0.103111083907	0.0189440505507	11.9423646434	2.19410708265	1.2633132361614169e-06	5.32423931792e-07	1.40866691232e-07	3.77962971327
original_summits_filter2_cux2_excite_merge_GSE87548_summits	 0.3573 	0.0163	original	original_summits_filter2_cux2_excite_merge_GSE87548_summits	896549	original_summits_filter2_cux2_excite_merge_GSE87548_summits	0.0117522448235	0.247890201686	0.0258551189488	21.0930086471	2.2000153449	3.8897360557515314e-16	1.20211251446e-06	1.50198858225e-07	8.00347305342
original_summits_filter2_ex1_merge_preissl_summits	 0.3564 	0.0163	original	original_summits_filter2_ex1_merge_preissl_summits	896549	original_summits_filter2_ex1_merge_preissl_summits	0.00682870562587	0.166033378364	0.0188107274022	24.3140336486	2.75465489843	1.7088812384532071e-15	1.36250829769e-06	1.71028837154e-07	7.96654131761
original_summits_filter2_ex2_merge_preissl_summits	 0.3568 	0.0161	original	original_summits_filter2_ex2_merge_preissl_summits	896549	original_summits_filter2_ex2_merge_preissl_summits	0.0117309402417	0.250240570787	0.031418808438	21.3316721108	2.67828560975	1.7245641510487837e-12	1.17307936422e-06	1.65216116646e-07	7.10027198337
original_summits_filter2_ex3_merge_preissl_summits	 0.3568 	0.0163	original	original_summits_filter2_ex3_merge_preissl_summits	896549	original_summits_filter2_ex3_merge_preissl_summits	0.0113152492661	0.24921858793	0.0251967454583	22.0250196941	2.22679543912	2.5628623425843059e-17	1.23283348886e-06	1.40770326283e-07	8.75776537156
original_summits_filter2_fb_da_all_merge_mccallion_summits	 0.3537 	0.0164	original	original_summits_filter2_fb_da_all_merge_mccallion_summits	896549	original_summits_filter2_fb_da_all_merge_mccallion_summits	0.00805866778591	0.112790453214	0.0196166924664	13.9961661419	2.4342351599	1.3560359129867303e-07	6.24228104949e-07	1.61700223931e-07	3.8604034662
original_summits_filter2_gad2_inhib_merge_GSE87548_summits	 0.3575 	0.0164	original	original_summits_filter2_gad2_inhib_merge_GSE87548_summits	896549	original_summits_filter2_gad2_inhib_merge_GSE87548_summits	0.0116854792835	0.246241418902	0.0274863038205	21.0724278336	2.35217599156	4.6635463970144764e-14	1.19851503983e-06	1.66894756582e-07	7.18126239776
original_summits_filter2_green-cone_all_merge_GSE83312_summits	 0.3541 	0.0164	original	original_summits_filter2_green-cone_all_merge_GSE83312_summits	896549	original_summits_filter2_green-cone_all_merge_GSE83312_summits	0.00576414754245	0.0703282897347	0.0147523882634	12.2009870873	2.55933564412	2.1486618469589538e-05	5.87418820467e-07	1.72781617933e-07	3.39977613067
original_summits_filter2_inhib1_merge_preissl_summits	 0.3558 	0.0163	original	original_summits_filter2_inhib1_merge_preissl_summits	896549	original_summits_filter2_inhib1_merge_preissl_summits	0.00623486137511	0.131234778362	0.0183559725548	21.0485479094	2.94408671667	2.9385210908086155e-11	1.1420945663e-06	1.75449122182e-07	6.50954847819
original_summits_filter2_inhib2_merge_preissl_summits	 0.356 	0.0164	original	original_summits_filter2_inhib2_merge_preissl_summits	896549	original_summits_filter2_inhib2_merge_preissl_summits	0.00761294909262	0.150258220739	0.0197730238872	19.7371897423	2.59728833684	2.1111441748906573e-11	1.06494223633e-06	1.68855213015e-07	6.30683659282
original_summits_filter2_mb_da_all_merge_mccallion_summits	 0.3542 	0.0164	original	original_summits_filter2_mb_da_all_merge_mccallion_summits	896549	original_summits_filter2_mb_da_all_merge_mccallion_summits	0.00795264813436	0.108852953416	0.0216023158653	13.687636065	2.71636761747	4.0692472165601896e-06	6.10523324701e-07	1.81522505858e-07	3.36334782189
original_summits_filter2_microglia_merge_preissl_summits	 0.3539 	0.0164	original	original_summits_filter2_microglia_merge_preissl_summits	896549	original_summits_filter2_microglia_merge_preissl_summits	0.00627143144479	0.0813435824702	0.0166385979068	12.9704969569	2.65307817733	7.4671541494139711e-06	6.54540820759e-07	1.74781090697e-07	3.74491781777
original_summits_filter2_neun-neg_merge_preissl_summits	 0.3538 	0.0164	original	original_summits_filter2_neun-neg_merge_preissl_summits	896549	original_summits_filter2_neun-neg_merge_preissl_summits	0.00717159196727	0.0486078474031	0.0179447521972	6.77783226165	2.50219927167	0.02110568488544461	2.2863348933e-07	1.61587068549e-07	1.41492442051
original_summits_filter2_ntsr1-6_excite_merge_GSE87548_summits	 0.3584 	0.0164	original	original_summits_filter2_ntsr1-6_excite_merge_GSE87548_summits	896549	original_summits_filter2_ntsr1-6_excite_merge_GSE87548_summits	0.0129298681683	0.236451377719	0.0257067620204	18.2872226261	1.98816891911	2.4869500842599553e-15	1.01174211346e-06	1.33444854256e-07	7.58172444417
original_summits_filter2_oligo_merge_preissl_summits	 0.3541 	0.0164	original	original_summits_filter2_oligo_merge_preissl_summits	896549	original_summits_filter2_oligo_merge_preissl_summits	0.00575659867486	0.0743621859976	0.0176606529909	12.9177297564	3.06789720604	0.00014026892738014721	6.20261979501e-07	1.85577436851e-07	3.34233509217
original_summits_filter2_rbp4-5_excite_merge_GSE87548_summits	 0.3574 	0.0162	original	original_summits_filter2_rbp4-5_excite_merge_GSE87548_summits	896549	original_summits_filter2_rbp4-5_excite_merge_GSE87548_summits	0.0127518826456	0.247356484232	0.0246816854151	19.3976443405	1.93553266611	1.0359420547806272e-17	1.09000427831e-06	1.27585636159e-07	8.54331499316
original_summits_filter2_rod_ss-all_merge_GSE83312_summits	 0.3537 	0.0164	original	original_summits_filter2_rod_ss-all_merge_GSE83312_summits	896549	original_summits_filter2_rod_ss-all_merge_GSE83312_summits	0.00423843752532	0.0382831870231	0.0131634008649	9.03238204985	3.10572015897	0.010066734991548944	3.76458778943e-07	2.07826127017e-07	1.8114121855
original_summits_filter2_scnn1a-4_excite_merge_GSE87548_summits	 0.3584 	0.0164	original	original_summits_filter2_scnn1a-4_excite_merge_GSE87548_summits	896549	original_summits_filter2_scnn1a-4_excite_merge_GSE87548_summits	0.0126718646491	0.254515777999	0.0262663097886	20.0851086281	2.07280542492	3.9859344456293675e-16	1.13682536774e-06	1.40680070328e-07	8.08092692231
