sample1	h2	h2_se	peaks	sample2	n_snps	Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
prom_final_CD4-summits_corces_hg19_summits	 0.3538 	0.0164	prom	prom_final_CD4-summits_corces_hg19_summits	896549	prom_final_CD4-summits_corces_hg19_summits	0.00300897862312	0.0171297218928	0.0148323167584	5.69286925511	4.92935265292	0.34133410896909211	1.12550005616e-07	3.64830237614e-07	0.308499663711
prom_final_CD8-summits_corces_hg19_summits	 0.3541 	0.0164	prom	prom_final_CD8-summits_corces_hg19_summits	896549	prom_final_CD8-summits_corces_hg19_summits	0.00304085161963	0.00905452786286	0.0126341470659	2.97762896566	4.15480551054	0.63416277634150398	-1.24007753977e-07	3.00291403801e-07	-0.412958054766
prom_summits_filter2_adult_microglia_merged_GSE79816_summits	 0.3536 	0.0164	prom	prom_summits_filter2_adult_microglia_merged_GSE79816_summits	896549	prom_summits_filter2_adult_microglia_merged_GSE79816_summits	0.00224302019121	0.0161971508423	0.0114380426644	7.22113465844	5.09939353609	0.2207781909512127	2.75184683817e-07	3.40588306345e-07	0.80796867858
prom_summits_filter2_astrocytes_merge_preissl_summits	 0.3535 	0.0164	prom	prom_summits_filter2_astrocytes_merge_preissl_summits	896549	prom_summits_filter2_astrocytes_merge_preissl_summits	0.00191791562681	0.0277869239724	0.0114932215433	14.4880846602	5.99255847477	0.022685064369220614	7.69690349329e-07	3.76916778111e-07	2.04206974597
prom_summits_filter2_blue-cone_ss-all_merge_GSE83312_summits	 0.353 	0.0164	prom	prom_summits_filter2_blue-cone_ss-all_merge_GSE83312_summits	896549	prom_summits_filter2_blue-cone_ss-all_merge_GSE83312_summits	0.00213565851875	0.0343348645043	0.0116872097218	16.076944981	5.47241500415	0.00541664955500132	9.11566827512e-07	3.58010764677e-07	2.54619949301
prom_summits_filter2_cd4_mm10_merged_GSE107076_summits	 0.3532 	0.0165	prom	prom_summits_filter2_cd4_mm10_merged_GSE107076_summits	896549	prom_summits_filter2_cd4_mm10_merged_GSE107076_summits	0.00218430677658	0.0289701270247	0.0122866794676	13.2628472041	5.62497887169	0.027898079894773723	6.68141218212e-07	3.63961495148e-07	1.8357469873
prom_summits_filter2_cd8_mm10_merged_GSE107076_summits	 0.3534 	0.0165	prom	prom_summits_filter2_cd8_mm10_merged_GSE107076_summits	896549	prom_summits_filter2_cd8_mm10_merged_GSE107076_summits	0.00222507066159	0.0240885101852	0.0117648603092	10.8259529016	5.2874097494	0.060153930954525009	4.73509427562e-07	3.50064234728e-07	1.35263583248
prom_summits_filter2_cort_excite_merge_GSE63137_summits	 0.3529 	0.0164	prom	prom_summits_filter2_cort_excite_merge_GSE63137_summits	896549	prom_summits_filter2_cort_excite_merge_GSE63137_summits	0.00195733749091	0.0294077079973	0.0111176241308	15.0243420636	5.67997301558	0.013335291510529252	7.71432548419e-07	3.68968116338e-07	2.09078376765
prom_summits_filter2_cort_pv-gaba_merge_GSE63137_summits	 0.3527 	0.0164	prom	prom_summits_filter2_cort_pv-gaba_merge_GSE63137_summits	896549	prom_summits_filter2_cort_pv-gaba_merge_GSE63137_summits	0.00237420273474	0.0395794999983	0.0120534975252	16.6706488116	5.07686110744	0.0019762914361789816	8.62337137847e-07	3.38214150013e-07	2.54967788253
prom_summits_filter2_cort_vip-gaba_merge_GSE63137_summits	 0.3524 	0.0164	prom	prom_summits_filter2_cort_vip-gaba_merge_GSE63137_summits	896549	prom_summits_filter2_cort_vip-gaba_merge_GSE63137_summits	0.00242788357096	0.0492331345284	0.0119966845755	20.2782106676	4.94121082204	0.0001044296181716041	1.1557921169e-06	3.34167540184e-07	3.45872048571
prom_summits_filter2_cux2_excite_merge_GSE87548_summits	 0.3525 	0.0164	prom	prom_summits_filter2_cux2_excite_merge_GSE87548_summits	896549	prom_summits_filter2_cux2_excite_merge_GSE87548_summits	0.0030849705569	0.0761664037196	0.0147026195014	24.6895075058	4.76588649073	6.6478135936034561e-07	1.46836296149e-06	3.32287108545e-07	4.41895855642
prom_summits_filter2_ex1_merge_preissl_summits	 0.3521 	0.0163	prom	prom_summits_filter2_ex1_merge_preissl_summits	896549	prom_summits_filter2_ex1_merge_preissl_summits	0.00176693827492	0.059653157306	0.0119433679917	33.7607477028	6.75935778925	2.3952596216549887e-06	2.10397711594e-06	4.48857044904e-07	4.6874102564
prom_summits_filter2_ex2_merge_preissl_summits	 0.3524 	0.0164	prom	prom_summits_filter2_ex2_merge_preissl_summits	896549	prom_summits_filter2_ex2_merge_preissl_summits	0.00229653327482	0.0623701410056	0.0133349814436	27.1583876835	5.80657009841	6.5728926046242312e-06	1.64240388497e-06	3.69487302142e-07	4.4450888446
prom_summits_filter2_ex3_merge_preissl_summits	 0.3524 	0.0164	prom	prom_summits_filter2_ex3_merge_preissl_summits	896549	prom_summits_filter2_ex3_merge_preissl_summits	0.00243459367549	0.0597296059245	0.0125876094675	24.5337061892	5.17031223493	4.7382883248833601e-06	1.47192749229e-06	3.50236658762e-07	4.20266541342
prom_summits_filter2_fb_da_all_merge_mccallion_summits	 0.3527 	0.0165	prom	prom_summits_filter2_fb_da_all_merge_mccallion_summits	896549	prom_summits_filter2_fb_da_all_merge_mccallion_summits	0.00321783062656	0.0590234874359	0.0145326286213	18.3426333719	4.51628140442	9.3378277593481268e-05	9.55326043787e-07	3.18225492938e-07	3.00204120973
prom_summits_filter2_gad2_inhib_merge_GSE87548_summits	 0.3523 	0.0163	prom	prom_summits_filter2_gad2_inhib_merge_GSE87548_summits	896549	prom_summits_filter2_gad2_inhib_merge_GSE87548_summits	0.00313747712483	0.0845289504515	0.0149963031112	26.9416945808	4.77973305129	2.0736568619284992e-07	1.64778801425e-06	3.58703648808e-07	4.59373084084
prom_summits_filter2_green-cone_all_merge_GSE83312_summits	 0.3531 	0.0164	prom	prom_summits_filter2_green-cone_all_merge_GSE83312_summits	896549	prom_summits_filter2_green-cone_all_merge_GSE83312_summits	0.0020791258881	0.0321279144091	0.0119924411819	15.4526065944	5.76802071029	0.011592618844844098	8.68609061009e-07	3.85040448167e-07	2.25589042696
prom_summits_filter2_inhib1_merge_preissl_summits	 0.3531 	0.0164	prom	prom_summits_filter2_inhib1_merge_preissl_summits	896549	prom_summits_filter2_inhib1_merge_preissl_summits	0.00162887787425	0.0329137515919	0.010387762417	20.2063961407	6.3772506099	0.0027046756173417113	1.16572276841e-06	4.07478119091e-07	2.86082298361
prom_summits_filter2_inhib2_merge_preissl_summits	 0.3527 	0.0164	prom	prom_summits_filter2_inhib2_merge_preissl_summits	896549	prom_summits_filter2_inhib2_merge_preissl_summits	0.00211418618426	0.0593315457901	0.012486042126	28.0635386948	5.90583848242	5.2216231599053359e-06	1.72958618334e-06	3.89358277553e-07	4.44214566133
prom_summits_filter2_mb_da_all_merge_mccallion_summits	 0.3527 	0.0165	prom	prom_summits_filter2_mb_da_all_merge_mccallion_summits	896549	prom_summits_filter2_mb_da_all_merge_mccallion_summits	0.00318193156733	0.0610041234995	0.0145731571279	19.1720413241	4.57997188799	5.2403852667528922e-05	1.02909412648e-06	3.21802914834e-07	3.19790181829
prom_summits_filter2_microglia_merge_preissl_summits	 0.3533 	0.0164	prom	prom_summits_filter2_microglia_merge_preissl_summits	896549	prom_summits_filter2_microglia_merge_preissl_summits	0.00186708658501	0.029038597564	0.00987338771049	15.5528928316	5.28812524806	0.0053561662584596798	8.64144454435e-07	3.56230733899e-07	2.42579983197
prom_summits_filter2_neun-neg_merge_preissl_summits	 0.3529 	0.0164	prom	prom_summits_filter2_neun-neg_merge_preissl_summits	896549	prom_summits_filter2_neun-neg_merge_preissl_summits	0.00203836200309	0.0369332430408	0.0121510942797	18.1190794298	5.96120525267	0.0041506255361049051	1.03618893939e-06	4.14615346648e-07	2.49915722553
