population	total_peaks	roadmap_peaks	roadmap_percent	roadmap_brain_peaks	roadmap_brain_percent	boca_peaks	boca_percent	combined_peaks	combined_percent
Human CD4 T-cells	40530	39921	0.984974093264249	30608	0.755193683691093	24028	0.592844806316309	40179	0.991339748334567
Human CD8 T-cells	40916	40231	0.983258383028644	30475	0.744818652849741	23340	0.570436992863428	40447	0.988537491445889
Microglia	43126	36543	0.847354264248945	29063	0.673909010805547	20221	0.468881880999861	37294	0.864768353197607
Astrocytes*	44185	33437	0.756750028290144	27697	0.626841688355777	19280	0.436347176643657	34666	0.78456489758968
Cones (blue)	31138	25897	0.831684758173293	22402	0.719442481854968	18029	0.579003147279851	26540	0.852334767807823
CD4 T-cells	39080	32434	0.829938587512794	24971	0.638971340839304	18307	0.468449334698055	33229	0.850281473899693
CD8 T-cells	38299	32565	0.850283297214027	25494	0.665657066764145	18403	0.480508629468132	33245	0.868038329982506
Excitatory Camk2a	57937	36800	0.635172687574434	28067	0.484439995167164	31038	0.535719833612372	42166	0.72779053109412
Inhibitory PV	43899	33189	0.756030889086312	27667	0.63024214674594	27493	0.626278502927174	35996	0.819973120116631
Inhibitory VIP	49088	36653	0.74667943285528	30846	0.628381681877445	27995	0.570302314211212	39415	0.80294573011734
Excitatory Layers II/III	65021	49735	0.764906722443518	41223	0.633995170790975	36250	0.557512188369911	53722	0.826225373340921
Excitatory Layer VI*	42292	29795	0.704506762508276	24053	0.568736404048047	22087	0.522250070935402	32312	0.764021564362054
Excitatory DG*	72366	47405	0.655072824254484	36526	0.504739794931321	33376	0.461211065970207	52451	0.724801702456955
Excitatory Layers II-V*	68342	45933	0.672105001316906	35840	0.524421292909192	32905	0.481475520177929	50682	0.741593749085482
Embryonic DA forebrain	40188	34410	0.856225739026575	31239	0.777321588533891	27193	0.67664476958296	36382	0.905295112969046
Inhibitory Gad2	63960	51329	0.802517198248906	43397	0.678502188868042	35422	0.553814884302689	54255	0.848264540337711
Cones (green)	32605	26795	0.821806471400092	22769	0.698328477227419	18485	0.566937586259776	27553	0.845054439503144
Inhibitory*	38896	25907	0.666058206499383	20547	0.528254833401892	19862	0.510643767996709	28688	0.737556561085973
Inhibitory MSN*	46481	34760	0.747832447666789	28632	0.615993631806545	23126	0.497536627869452	36709	0.789763559303802
Embryonic DA midbrain	39398	34585	0.877836438397888	31227	0.792603685466267	26421	0.670617797857759	36055	0.915147977054673
Microglia*	38633	29682	0.76830688789377	23446	0.606890482230218	16958	0.438951155747677	30770	0.79646933968369
Neun negative	39437	28266	0.716738088597003	24111	0.611380175976875	20096	0.509572229124933	29938	0.759134822628496
Excitatory Layer VI	70263	52527	0.747576960847103	42692	0.607602863527034	36250	0.51591876236426	56496	0.804064728235344
Oligodendrocytes*	34771	27486	0.790486324810906	23607	0.678927842167323	17227	0.495441603635213	28396	0.81665755946047
Excitatory Layer V	70258	52828	0.751914372740471	43072	0.613054741097099	38463	0.547453670756355	57254	0.814910757493808
Rods	24016	20695	0.861717188540973	18275	0.760951032644903	14521	0.604638574283811	21029	0.875624583610926
Excitatory Layer IV	69358	51703	0.745451137576055	41803	0.60271345771216	36991	0.533334294529831	56078	0.808529657717927
