Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Rbp4_layer5_cortical	4.20075827465e-07	7.91913497599e-08	5.64703516206e-08
Cux2_layer2-3_cortical	4.83512876926e-07	9.38552836888e-08	1.29078049192e-07
Ntsr1_layer6_cortical	4.34052784207e-07	8.65682205005e-08	2.66554308874e-07
Scnn1a_layer4_cortical	4.6653406602e-07	9.79282321119e-08	9.48771862677e-07
Gad2_GABA_cortical	6.05874060703e-07	1.45252758106e-07	1.51519315988e-05
Ex3_single-cell	5.71267418388e-07	1.74064626184e-07	0.00051550123239
Ex2_single-cell	7.66001229115e-07	2.40802226934e-07	0.000733739848436
Excitatory_cortical	1.96618329476e-07	6.27029061622e-08	0.000857183887834
Pv_GABA_cortical	2.22229204264e-07	7.2117557268e-08	0.00102985267275
Vip_GABA_cortical	2.65056379582e-07	8.74116494106e-08	0.00121357971307
Blue_cone	5.08619204954e-07	1.6817979604e-07	0.00124621620206
Ex1_single-cell	9.03534306462e-07	3.26520466968e-07	0.00282735158007
Green_cone	3.34099261584e-07	1.3141117344e-07	0.00550476560566
Inhib1_single-cell	7.99448802117e-07	3.2938690112e-07	0.00761042139261
CD8_tcells	2.73973578957e-07	1.37082562572e-07	0.0228256792988
DA_MB	1.63804825103e-07	1.0433242635e-07	0.0582043048932
CD4_tcells	1.85968572563e-07	1.27525472586e-07	0.0723809056092
Neun-neg	3.80167699677e-07	2.63525615197e-07	0.0745635716775
Rod	2.84862368363e-07	2.07762391207e-07	0.0851723772308
Microglia_adult	1.82393171885e-07	1.46846996854e-07	0.107106721578
Inhib2_single-cell	2.63651262376e-07	2.74123696647e-07	0.168075872101
DA_FB	6.70849975246e-08	8.74626054542e-08	0.221536749964
Oligodendrocyte_single-cell	1.28935019578e-07	2.45147683998e-07	0.299462047438
Microglia_single-cell	-3.23012631084e-08	2.58213433617e-07	0.5497759114
Astrocytes_single-cell	-1.44810627807e-07	3.05917644867e-07	0.682023510992
