Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Cux2_layer2-3_cortical	1.04646124552e-07	2.05983370622e-08	1.88400730392e-07
Rbp4_layer5_cortical	7.52383179654e-08	1.54556602604e-08	5.63636428121e-07
Scnn1a_layer4_cortical	8.79509603065e-08	2.00371418201e-08	5.68328282882e-06
Inhib1_single-cell	2.47912992679e-07	5.80003703047e-08	9.58544554451e-06
DA_FB	8.8482700151e-08	2.14298615752e-08	1.82216505318e-05
Ntsr1_layer6_cortical	7.93763934077e-08	1.93547624765e-08	2.05568912084e-05
Ex2_single-cell	1.79067665155e-07	4.57816809825e-08	4.58929545442e-05
Gad2_GABA_cortical	8.71393026513e-08	2.24266439644e-08	5.10543339734e-05
Ex3_single-cell	1.38453811797e-07	3.60151784939e-08	6.04439939068e-05
Excitatory_cortical	4.45648585931e-08	1.22629006788e-08	0.000139465249457
Ex1_single-cell	2.27240353369e-07	6.75416502789e-08	0.000383485023759
Vip_GABA_cortical	5.26928146178e-08	1.76858746958e-08	0.00144419546475
Pv_GABA_cortical	4.56102161328e-08	1.57158687467e-08	0.00185290174508
Green_cone	6.42966102525e-08	2.33793383754e-08	0.00297842948972
Rod	7.98436948708e-08	3.28223130246e-08	0.00749533979411
Blue_cone	6.56352647469e-08	2.79012179835e-08	0.00932595717037
DA_MB	3.28002531053e-08	1.78810302443e-08	0.0333002597361
Inhib2_single-cell	1.23238426755e-07	7.70800185691e-08	0.0549283534348
Microglia_single-cell	1.16518462293e-07	8.67002742701e-08	0.0894867005315
Microglia_adult	3.25993069255e-08	2.52770986423e-08	0.0985813168317
Neun-neg	5.07955497243e-08	4.05495674054e-08	0.105161463494
Oligodendrocyte_single-cell	4.32838181836e-08	4.34089462007e-08	0.159353749457
CD8_tcells	1.7871507421e-08	2.25024130046e-08	0.213538327154
Astrocytes_single-cell	2.01745619675e-08	5.2837633302e-08	0.351296761788
CD4_tcells	2.94970430726e-09	2.22645958823e-08	0.447300710632
