Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Oligodendrocyte_single-cell	1.24066927366e-07	1.83325203674e-07	0.24927953149
CD4_tcells	5.36589002261e-08	8.02108671073e-08	0.251756367328
Ex3_single-cell	3.76012551296e-08	8.39086675887e-08	0.327032854393
CD8_tcells	2.46045482011e-08	7.91046766765e-08	0.377885925518
Rod	-1.68685097936e-08	9.47976525394e-08	0.570615844341
Microglia_adult	-4.0161019518e-08	8.27656592015e-08	0.686246134863
Astrocytes_single-cell	-9.05921122595e-08	1.75495561606e-07	0.69714522811
Microglia_single-cell	-9.17580057972e-08	1.47426514825e-07	0.733159986721
Ex1_single-cell	-1.19256740554e-07	1.52609777913e-07	0.782730735092
Pv_GABA_cortical	-3.55322097922e-08	4.05184828316e-08	0.809739926374
Ex2_single-cell	-1.25268740106e-07	1.41949079639e-07	0.811244241763
Blue_cone	-8.5093022189e-08	8.56333591457e-08	0.839813120789
Inhib2_single-cell	-1.6860380595e-07	1.65865154167e-07	0.845307018923
Ntsr1_layer6_cortical	-5.57362454165e-08	4.94728557692e-08	0.870044719536
DA_MB	-7.74982033631e-08	5.77851832453e-08	0.91006301197
DA_FB	-8.61941355506e-08	5.87465053765e-08	0.928842094533
Cux2_layer2-3_cortical	-8.24094574251e-08	5.33341853015e-08	0.938845327063
Neun-neg	-1.6473554861e-07	9.51204073347e-08	0.958351053452
Excitatory_cortical	-6.46969196374e-08	3.54102183878e-08	0.966155317801
Gad2_GABA_cortical	-1.19332002544e-07	6.25732341914e-08	0.971744719161
Scnn1a_layer4_cortical	-1.08957923966e-07	5.36271743037e-08	0.978911376132
Green_cone	-1.3798034025e-07	6.56990204695e-08	0.982143877403
Inhib1_single-cell	-4.0667263621e-07	1.93536605616e-07	0.982191358031
Rbp4_layer5_cortical	-8.35720216635e-08	3.65958520868e-08	0.988803868511
Vip_GABA_cortical	-9.94245942466e-08	3.7184588486e-08	0.996250274595
