Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Inhib1_single-cell	5.52732692879e-07	3.09706805386e-07	0.0371552686673
Ex3_single-cell	2.70159270901e-07	1.56109973731e-07	0.0417642238751
CD4_tcells	1.65934025776e-07	9.84648161517e-08	0.0459739009929
Inhib2_single-cell	4.85090429526e-07	2.99597629231e-07	0.0527085992778
Scnn1a_layer4_cortical	1.43473732975e-07	9.12545140443e-08	0.0579477866065
Cux2_layer2-3_cortical	1.41503860726e-07	9.29209476615e-08	0.0638992018927
Green_cone	1.48549949762e-07	1.0633721078e-07	0.0812112165864
Rbp4_layer5_cortical	8.93178403437e-08	6.49832870262e-08	0.0846472837762
Rod	2.20215715745e-07	1.61802812404e-07	0.0867548056319
CD8_tcells	1.28577107654e-07	1.08356432752e-07	0.117690233143
Ex2_single-cell	2.27452098288e-07	2.17589257366e-07	0.147935748166
Blue_cone	1.25333559758e-07	1.31619482855e-07	0.170487209273
Gad2_GABA_cortical	1.02412323928e-07	1.12314802012e-07	0.180928362251
Ntsr1_layer6_cortical	6.13155535071e-08	8.16574317256e-08	0.22636014965
Microglia_single-cell	2.07420595171e-07	2.92666758169e-07	0.239247205892
Excitatory_cortical	3.33699121895e-08	5.78651946871e-08	0.282076586694
Astrocytes_single-cell	9.71982607593e-08	3.04663159168e-07	0.374849924215
Pv_GABA_cortical	1.78631908674e-08	6.72893800369e-08	0.395324400455
Ex1_single-cell	4.91809508273e-08	2.49428462304e-07	0.421845463469
DA_MB	1.30098151783e-08	1.00455211545e-07	0.448477604833
DA_FB	-1.90660391818e-08	9.07427042741e-08	0.583209474855
Vip_GABA_cortical	-1.69949018567e-08	7.10130213579e-08	0.594571628959
Microglia_adult	-4.41596532687e-08	1.3158669983e-07	0.631411321595
Neun-neg	-2.42360054554e-07	1.78068465207e-07	0.913251028854
Oligodendrocyte_single-cell	-3.2924896134e-07	2.22474969851e-07	0.930554982977
