Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Cux2_layer2-3_cortical	1.45625534104e-07	1.03126161766e-07	0.0789587162777
Ex3_single-cell	1.99974174875e-07	1.81652201186e-07	0.135478158462
Scnn1a_layer4_cortical	1.08583121768e-07	1.03998192951e-07	0.148222657839
Inhib2_single-cell	2.35698750808e-07	2.4909560261e-07	0.17201869547
Rbp4_layer5_cortical	6.75761620806e-08	7.7698817494e-08	0.192226907948
CD4_tcells	1.14195227743e-07	1.3303038829e-07	0.195331783864
Inhib1_single-cell	2.50555812872e-07	3.64912736917e-07	0.246161603686
Green_cone	7.64819023569e-08	1.18241989112e-07	0.258872529221
CD8_tcells	8.40125347086e-08	1.33898281028e-07	0.265186902268
Microglia_single-cell	1.52107685713e-07	3.51060720049e-07	0.332405582736
Ntsr1_layer6_cortical	3.83085806635e-08	9.50917046945e-08	0.343525855054
Rod	6.97317064145e-08	1.76090183189e-07	0.346052526949
Blue_cone	4.70499102143e-08	1.49277409491e-07	0.376310826041
Gad2_GABA_cortical	2.37685227388e-08	1.21648735822e-07	0.422545185702
DA_MB	8.76183732211e-09	1.04757303591e-07	0.466671572641
Vip_GABA_cortical	-3.68598205586e-09	8.64780451555e-08	0.516999100207
Microglia_adult	-2.24933566706e-08	1.39273988841e-07	0.564151911846
Excitatory_cortical	-2.73530346527e-08	7.54329461241e-08	0.641553336686
Pv_GABA_cortical	-3.55664373126e-08	8.35085580825e-08	0.664910263947
Ex2_single-cell	-1.42370575519e-07	2.18314327287e-07	0.742843195297
Astrocytes_single-cell	-3.31060487955e-07	3.00334168975e-07	0.864835908957
Ex1_single-cell	-2.92983696589e-07	2.3124759048e-07	0.897416942663
DA_FB	-1.24302540741e-07	9.69042892191e-08	0.900207564609
Oligodendrocyte_single-cell	-3.77227824921e-07	2.42481734245e-07	0.940109781709
Neun-neg	-5.10149379231e-07	2.09884595352e-07	0.992463461798
