Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Rbp4_layer5_cortical	2.37271310916e-07	1.17255854056e-07	0.021509015454
Gad2_GABA_cortical	4.58592339411e-07	2.43794141993e-07	0.0299816191026
Ex3_single-cell	4.48320508263e-07	2.48108455002e-07	0.0353847437883
Ex2_single-cell	7.14804814768e-07	3.99289245711e-07	0.0367114445902
Cux2_layer2-3_cortical	2.64485315259e-07	1.66675433959e-07	0.0562757552987
CD4_tcells	3.71589682119e-07	2.4332544185e-07	0.0633642930396
CD8_tcells	3.50708591885e-07	2.32290441266e-07	0.0655491644475
Scnn1a_layer4_cortical	2.38738712768e-07	1.64204762749e-07	0.0729858274286
Ntsr1_layer6_cortical	2.00449212882e-07	1.52440718853e-07	0.0942663414968
Neun-neg	4.19267061796e-07	3.22547574391e-07	0.0968242808268
DA_FB	1.96847079402e-07	1.61691691424e-07	0.11172178132
Inhib1_single-cell	6.4348753234e-07	5.57982741446e-07	0.124406122919
Ex1_single-cell	4.81951438939e-07	4.18803078343e-07	0.124910771906
Excitatory_cortical	1.16120757612e-07	1.12615300345e-07	0.151240465668
Blue_cone	3.12635712879e-07	3.26233073668e-07	0.168950684807
Microglia_adult	1.33819501672e-07	3.09625379062e-07	0.332798718756
Green_cone	1.00048007713e-07	2.43529123027e-07	0.340600195616
Pv_GABA_cortical	4.79727143925e-08	1.32639393393e-07	0.358796436341
Astrocytes_single-cell	8.19321244131e-08	5.07962207394e-07	0.435930251346
DA_MB	2.46625481738e-08	1.53300804205e-07	0.436095203838
Inhib2_single-cell	2.09866226985e-09	3.90845568727e-07	0.497857872379
Rod	-7.85530141391e-08	2.37503643092e-07	0.629581241792
Oligodendrocyte_single-cell	-1.9302320844e-07	3.24469466688e-07	0.724041053299
Microglia_single-cell	-3.039964771e-07	3.10838451567e-07	0.835960030754
Vip_GABA_cortical	-1.5532692268e-07	1.28917585855e-07	0.885870245764
