Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Ntsr1_layer6_cortical	2.4168679585e-07	5.30505015102e-08	2.6094875898e-06
Scnn1a_layer4_cortical	1.92900160613e-07	4.48128970737e-08	8.36559663106e-06
Cux2_layer2-3_cortical	1.89177502336e-07	5.07614844854e-08	9.69661244226e-05
Rbp4_layer5_cortical	1.39596112853e-07	3.75481356685e-08	0.00010048629769
Inhib2_single-cell	4.07293062522e-07	1.16186997421e-07	0.000227878617289
Ex3_single-cell	2.75273851587e-07	8.68711541738e-08	0.000765453367949
Ex2_single-cell	4.05465420849e-07	1.34716040216e-07	0.00130719201896
DA_FB	1.50687793248e-07	5.02952684338e-08	0.00136744958322
DA_MB	1.37239256187e-07	4.72391324939e-08	0.00183507654268
Blue_cone	2.22689738058e-07	8.02038642081e-08	0.0027469909335
Excitatory_cortical	8.85097411553e-08	3.36077988988e-08	0.00422415808858
Vip_GABA_cortical	1.01643366707e-07	4.0896414324e-08	0.00647055538403
Rod	1.97076688791e-07	8.15946857461e-08	0.00786085086969
Gad2_GABA_cortical	1.26939945142e-07	5.26894724963e-08	0.00799357246274
Neun-neg	2.1660164966e-07	9.20175212587e-08	0.00928836783365
Green_cone	1.35661699218e-07	6.44906194308e-08	0.0177071967025
Inhib1_single-cell	3.08264322877e-07	1.5947226173e-07	0.0266163836757
Ex1_single-cell	2.74519542648e-07	1.44642357534e-07	0.028853347345
Pv_GABA_cortical	6.5859393859e-08	3.54850661953e-08	0.0317285645335
Oligodendrocyte_single-cell	1.46386425209e-07	1.22157402229e-07	0.115391824413
Microglia_single-cell	1.38692169674e-07	1.63900612016e-07	0.198721489747
Astrocytes_single-cell	9.96707789567e-08	1.42231907532e-07	0.241725640024
CD8_tcells	7.35081018033e-09	6.51688807416e-08	0.455096016424
Microglia_adult	2.74943526545e-10	6.70419907985e-08	0.498363916574
CD4_tcells	-3.05818273471e-08	6.35261124547e-08	0.684885877253
