Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD4_tcells	1.150758255e-06	3.56078705175e-07	0.000615167794463
Microglia_adult	1.1567328713e-06	3.74781563242e-07	0.00101291626683
CD8_tcells	8.78289734098e-07	3.46834690697e-07	0.0056658381901
Inhib1_single-cell	3.03131538526e-07	6.57925933257e-07	0.322493261535
Scnn1a_layer4_cortical	5.62646922301e-08	2.1297712309e-07	0.395819894665
Microglia_single-cell	1.06865583623e-07	5.83570280884e-07	0.4273504569
Oligodendrocyte_single-cell	-2.74883627809e-08	8.73121496949e-07	0.51255776987
Inhib2_single-cell	-1.79974076632e-07	5.13367656808e-07	0.637046546373
Astrocytes_single-cell	-3.30432690536e-07	6.88788404104e-07	0.684290421925
Pv_GABA_cortical	-1.31961408582e-07	1.75897235347e-07	0.773438523823
Neun-neg	-3.63129360343e-07	4.42495610231e-07	0.794074169074
Rbp4_layer5_cortical	-1.29645064935e-07	1.3600149762e-07	0.829771339991
Excitatory_cortical	-1.26143647318e-07	1.24282129672e-07	0.844941880856
Gad2_GABA_cortical	-4.22985562144e-07	2.69766030509e-07	0.941556157729
Ntsr1_layer6_cortical	-3.1146847586e-07	1.9514469898e-07	0.944765634207
Cux2_layer2-3_cortical	-3.29198549232e-07	2.03210751199e-07	0.947382345814
Rod	-6.83831401429e-07	3.79625327896e-07	0.964174747679
Vip_GABA_cortical	-3.10532751829e-07	1.72043895634e-07	0.964459712016
Ex3_single-cell	-6.61265968148e-07	3.50845988486e-07	0.970269931592
Ex2_single-cell	-9.46421395288e-07	4.86104562256e-07	0.974229649843
Ex1_single-cell	-1.06934154515e-06	5.09751689421e-07	0.982037243855
Green_cone	-5.30573803665e-07	2.40368993109e-07	0.986354510135
DA_MB	-4.30498432645e-07	1.93513855046e-07	0.98694725254
Blue_cone	-8.05988798302e-07	2.69232411457e-07	0.998621710118
DA_FB	-5.93359591905e-07	1.91867074127e-07	0.999007794672
