Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD8_tcells	9.71586637008e-07	2.78274034869e-07	0.000240181351446
CD4_tcells	9.82346598978e-07	2.84780394282e-07	0.000280825177624
Microglia_adult	7.44561574435e-07	2.6793038965e-07	0.00272685815454
Oligodendrocyte_single-cell	4.77617211803e-07	4.16958033474e-07	0.126005126446
Microglia_single-cell	4.47597453641e-07	5.22707365455e-07	0.195914271485
Astrocytes_single-cell	4.55981236927e-07	5.94772693186e-07	0.221645443594
Ex2_single-cell	2.02347790099e-07	3.34568105784e-07	0.272654953994
Inhib1_single-cell	6.37625102426e-08	4.43336070104e-07	0.442819597703
Rod	2.99002898406e-08	2.53807328419e-07	0.453110276032
Neun-neg	-3.20242320387e-08	2.67942760138e-07	0.547567878288
Ex1_single-cell	-1.2713517001e-07	3.78057480576e-07	0.631672129744
Ex3_single-cell	-1.34712232691e-07	2.24455926343e-07	0.725804298526
Blue_cone	-1.85649476305e-07	2.34533897358e-07	0.785693629748
Excitatory_cortical	-1.12155887455e-07	8.66721688113e-08	0.902171476116
Gad2_GABA_cortical	-2.22200488223e-07	1.70141816425e-07	0.904219000092
Pv_GABA_cortical	-1.63487919736e-07	1.03724948576e-07	0.942506426666
DA_FB	-2.06963460407e-07	1.27719689295e-07	0.947432252202
Ntsr1_layer6_cortical	-2.165717686e-07	1.23270750549e-07	0.960530765264
Scnn1a_layer4_cortical	-2.42237403487e-07	1.3388169919e-07	0.964800836977
Inhib2_single-cell	-5.75749303874e-07	3.11246493449e-07	0.967830092796
DA_MB	-2.48080907686e-07	1.33816984966e-07	0.968121982445
Green_cone	-3.07225088709e-07	1.63001203548e-07	0.970271751624
Cux2_layer2-3_cortical	-2.45249011156e-07	1.24192401913e-07	0.975851767071
Vip_GABA_cortical	-2.73948460256e-07	1.03271750315e-07	0.996007401072
Rbp4_layer5_cortical	-2.96149021505e-07	1.04518820135e-07	0.997697586199
