Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD8_tcells	1.24323846521e-07	3.7533785417e-08	0.000462630942064
CD4_tcells	1.24800914465e-07	4.03552906458e-08	0.000992210717285
Microglia_adult	1.08583612857e-07	4.66254406615e-08	0.00993353212453
Microglia_single-cell	6.39493400491e-08	6.10224232303e-08	0.147327455878
Ex1_single-cell	9.41141477453e-09	5.0663634425e-08	0.426315418528
Inhib1_single-cell	-1.53553349467e-08	5.04813950329e-08	0.619503896658
Ex3_single-cell	-2.37902273501e-08	3.11153491991e-08	0.777739672467
Rod	-3.65575618405e-08	3.50217870475e-08	0.851723061532
Ex2_single-cell	-6.89616503565e-08	5.32852883194e-08	0.902201276436
Pv_GABA_cortical	-1.85333996589e-08	1.34984175665e-08	0.915124659667
Gad2_GABA_cortical	-3.0145143106e-08	1.81236728501e-08	0.951874010684
Scnn1a_layer4_cortical	-2.22615890706e-08	1.29807684283e-08	0.956824358356
Rbp4_layer5_cortical	-1.90225698008e-08	1.03144808558e-08	0.967427267499
Ntsr1_layer6_cortical	-2.31320251847e-08	1.24884662588e-08	0.968006548544
Blue_cone	-4.7139568179e-08	2.52918428676e-08	0.968826855748
Vip_GABA_cortical	-2.4438519724e-08	1.27488424616e-08	0.972375995116
DA_MB	-3.07806663631e-08	1.58281694647e-08	0.97409302641
Excitatory_cortical	-2.53931782457e-08	1.28827806419e-08	0.975643466926
Neun-neg	-5.41459165332e-08	2.72327523299e-08	0.976608781338
Inhib2_single-cell	-6.94864850448e-08	3.3624417421e-08	0.980611634992
Astrocytes_single-cell	-9.40981195608e-08	4.46668872499e-08	0.982426638891
DA_FB	-3.58816426945e-08	1.61946933799e-08	0.986641984704
Oligodendrocyte_single-cell	-8.07889161636e-08	3.56932413794e-08	0.98819519781
Green_cone	-5.03023555078e-08	1.99245005387e-08	0.994209292822
Cux2_layer2-3_cortical	-4.87817705416e-08	1.35237892944e-08	0.999845185684
